// public/problems.csv

今から約700万年前から600万年前にアフリカにあらわれた最も古い人類を漢字２字で何というか。,猿人
250万年ほど前から1万年ほど前まで続いた地球全体が寒冷化した時期を何というか。,氷河時代
今から約200万年前にあらわれた人類を何というか。,原人
約20万年前にあらわれた，現在の人類の直接の祖先を何というか。,新人
石を打ち欠いてつくった道具を何というか。,打製石器
打製石器を使い狩猟と採集で生活していた時代を何というか。,旧石器時代
食料の調理や保存のために使われた道具を何というか。,土器
石の表面をみがいてつくられ木を切ったり加工したりするために使った道具を何というか。,磨製石器
土器や磨製石器が使われ，農耕や牧畜（ぼくちく）が始まった時代を何というか。,新石器時代
文明のおこりとともに（　）や鉄器などの金属器が祭りや戦いの道具として使われるようになった。,青銅器
紀元前3000年ごろに，ナイル川の流域で栄えた文明を何というか,エジプト文明
エジプト文明で国王が築かせた石造りの巨大な四角すいの建造物を何というか,ピラミッド
エジプト文明でつくられた１年を365日とする暦を何というか。,太陽暦
エジプト文明で使用された文字を何というか。,象形文字(ヒエログリフ)
紀元前3000年ごろにチグリス川とユーフラテス川にはさまれた地域で栄えた文明を何というか,メソポタミア文明
メソポタミア文明で発達し，粘土板に刻まれた文字を何というか。,くさび形文字
現在の中東や中近東をさしている「太陽がのぼる土地」を意味する言葉を何というか。,オリエント
紀元前2500年ごろにインダス川流域でおこった文明を何というか,インダス文明
紀元前1500年ごろ，中央アジアからインダス川流域に達文して先住民を征服した人々を何というか。,アーリア人
紀元前５世紀ごろにインドで開かれた，「心の迷いを捨て去ればこの世の苦しみからのがれる」とする宗教を何というか。,仏教
仏教を開いた人物はだれか。,シャカ(釈迦)
バレスチナのユダヤ人の中からあらわれて.「神を信じる者は救われる」と説き，救世主(キリスト）と呼ばれた人物はだれか。,イエス
イエスの教えをもとに成立した宗教を何というか。,キリスト教
７世紀はじめにアラビア半島で成立したアラーの前ではすべての人は平等であるとした宗教を何というか。,イスラム教
イスラム教の宗教を開いた人物はだれか。,ムハンマド
ギリシャで発展した神殿と広場を中心とする都市国家を何というか。,ポリス
地中海地域を支配した帝国を何というか。,ローマ帝国
紀元前16世紀ごろに黄河（こうが）流域でつくられた国を何というか。,殷
殷（いん）の国で使われた，亀の甲や牛の骨に刻まれた文字を何というか。 ,甲骨文字
紀元前６世紀ごろに中国で生まれた親子や兄弟の秩序を重んじる教えを何というか。,儒学(儒教)
儒学の教えを説いたのはだれか。,孔子
紀元前221年に中国を統一した国を何というか。,秦
はじめて「皇帝」を名乗った秦の国の王はだれか。,始皇帝
始皇帝が北方の異民族の侵入を防ぐ目的で築いたものを何というか。,万里の長城
秦の後に中国を統一し広大な地域を支配した国を何というか。,漢(前漢)
漢の国と西方を結んだ交易路を何というか。,シルクロード(絹の道)
シルクロードの交易路を通って，中国から西方にもたらされた代表的なものは何か。 ,絹
朝鮮半島北部の小国を統一して成立した国を何というか。,高句麗
ナウマン象の「きば」やオツノジ力の角の化石などが見つかった，長野県にある湖を何というか。,野尻湖
打製石器が発見され日本に旧石器時代があったことを明らかにした群馬県の遺跡を何というか。,岩宿遺跡
縄目（なわめ）の文様がつけられていることが多い，厚手の土器を何というか。,縄文土器
縄文土器が使われていた時代を何というか。,縄文時代
縄文時代に，人々が食べ残した貝殻などを捨てたあとを何というか,貝塚
縄文時代につくられるようになった住居で地面をほり下げ屋根をかけたものを何というか。,たて穴住居
縄文時代につくられた豊かな生産をいのるためと考えられる土製の人形を何というか。,土偶
稲作が広まり本格的に農業が行われるようになった時代を何というか。,弥生時代
弥生時代に使われた米を貯蔵する倉庫を何というか。,高床倉庫
稲作が広まったころに使われた，かざりの少ない土器を何というか。,弥生土器
稲作とともに伝わり，おもに武器や工具に利用された金属器は何か。,鉄器
